Name,affiliation,homepage,scholar-id,citations,h-index
Frank H. Li,Georgia Institute of Technology,https://frankli.ece.gatech.edu,Iv7K07UAAAAJ,2610.0,18.0
Yi Pan,Georgia State University,https://grid.cs.gsu.edu/pan,2F-jTfEAAAAJ,19200.0,88.0
Rafal A. Angryk,Georgia State University,https://grid.cs.gsu.edu/~rangryk,Phw2RfEAAAAJ,2172.0,22.0
Rolando Estrada,Georgia State University,https://grid.cs.gsu.edu/~restrada1,chojFxIAAAAJ,586.0,10.0
Shihao Ji,Georgia State University,https://grid.cs.gsu.edu/~sji,qMfWf9EAAAAJ,4212.0,18.0
Yingshu Li,Georgia State University,https://grid.cs.gsu.edu/yli,sgiysmUAAAAJ,9206.0,46.0
Wei (Lisa) Li,Georgia State University,https://grid.cs.gsu.edu/~wli28,tHTIu_EAAAAJ,1392.0,21.0
Saeid Belkasim,Georgia State University,https://grid.cs.gsu.edu/belkasim,,,
Ashwin Ashok,Georgia State University,https://grid.cs.gsu.edu/~aashok/index.html,1SIKS28AAAAJ,1363.0,16.0
Yan-Qing Zhang,Georgia State University,https://grid.cs.gsu.edu/zhang,sfciqWgAAAAJ,9081.0,37.0
Xiaojun Cao,Georgia State University,https://grid.cs.gsu.edu/cao,ViyBLNcAAAAJ,4249.0,31.0
Zhipeng Cai,Georgia State University,https://grid.cs.gsu.edu/zcai,tq-LVzIAAAAJ,11113.0,56.0
Sushil K. Prasad,Georgia State University,http://cs.gsu.edu/profile/sushil-prasad,WdZpkD0AAAAJ,2081.0,25.0
Xiaolin Hu,Georgia State University,https://grid.cs.gsu.edu/xhu,zeU19nAAAAAJ,2031.0,22.0
Anu G. Bourgeois,Georgia State University,https://grid.cs.gsu.edu/bourgeois,qsAUgQ8AAAAJ,1250.0,18.0
Zhisheng Yan,Georgia State University,https://grid.cs.gsu.edu/~zyan,i6ePuTMAAAAJ,820.0,14.0
Juan M. Banda,Georgia State University,http://www.jmbanda.com,lCgSjYAAAAAJ,2645.0,23.0
Daniel L. Pimentel-Alarcón,Georgia State University,https://danielpimentel.github.io/index.html,Q2U7G6oAAAAJ,333.0,10.0
P. V. Skums,Georgia State University,http://alan.cs.gsu.edu/compbel,h5ZxsFAAAAAJ,1574.0,19.0
Alex Zelikovsky,Georgia State University,http://cs.gsu.edu/profile/alex-zelikovsky,UzCRNJwAAAAJ,9343.0,48.0
Yubao Wu,Georgia State University,http://cs.gsu.edu/profile/yubao-wu,Ussl738AAAAJ,556.0,12.0
Raj Sunderraman,Georgia State University,http://tinman.cs.gsu.edu/~raj,Wlxc9FEAAAAJ,4211.0,19.0
